alarm_id,trigger_count,total_downtime
CC1.Bin_BLeft_Full,0,0
CC1.Bin_BRight_Full,0,0
CC2.Bin_BLeft_Full,0,0
CC2.Bin_BRight_Full,0,0
CC3.Bin_BLeft_Full,0,0
CC3.Bin_BRight_Full,0,0
CC4.Bin_BLeft_Full,0,0
CC4.Bin_BRight_Full,0,0
CC5.Bin_BLeft_Full,0,0
CC5.Bin_BRight_Full,0,0
CC6.Bin_BLeft_Full,0,0
CC6.Bin_BRight_Full,26,3517
CC7.Bin_BLeft_Full,0,0
CC7.Bin_BRight_Full,39,11041
CC8.Bin_BLeft_Full,36,7381
CC8.Bin_BRight_Full,38,8628
CC9.Bin_BLeft_Full,0,0
CC9.Bin_BRight_Full,23,4676
CC10.Bin_BLeft_Full,33,7038
CC10.Bin_BRight_Full,32,6796
CC11.Bin_BLeft_Full,0,0
CC11.Bin_BRight_Full,23,5356
CC12.Bin_BLeft_Full,27,6420
CC12.Bin_BRight_Full,28,7630
CC13.Bin_BLeft_Full,0,0
CC13.Bin_BRight_Full,19,5067
CC14.Bin_BLeft_Full,26,8642
CC14.Bin_BRight_Full,29,6586
CC15.Bin_BLeft_Full,0,0
CC15.Bin_BRight_Full,15,5388
CC16.Bin_BLeft_Full,30,7834
CC16.Bin_BRight_Full,32,10207
CC17.Bin_BLeft_Full,0,0
CC17.Bin_BRight_Full,19,5781
CC18.Bin_BLeft_Full,18,5532
CC18.Bin_BRight_Full,17,6301
CC19.Bin_BLeft_Full,0,0
CC19.Bin_BRight_Full,17,6494
CC20.Bin_BLeft_Full,16,5266
CC20.Bin_BRight_Full,20,5647
CC21.Bin_BLeft_Full,0,0
CC21.Bin_BRight_Full,14,3400
CC22.Bin_BLeft_Full,12,2372
CC22.Bin_BRight_Full,11,4285
CC23.Bin_BLeft_Full,0,0
CC23.Bin_BRight_Full,15,4666
CC24.Bin_BLeft_Full,15,3995
CC24.Bin_BRight_Full,15,2137
CC25.Bin_BLeft_Full,0,0
CC25.Bin_BRight_Full,16,3425
CC26.Bin_BLeft_Full,16,2900
CC26.Bin_BRight_Full,15,3755
CC27.Bin_BLeft_Full,0,0
CC27.Bin_BRight_Full,10,2033
CC28.Bin_BLeft_Full,11,2265
CC28.Bin_BRight_Full,12,1919
CC29.Bin_BLeft_Full,0,0
CC29.Bin_BRight_Full,12,2019
CC30.Bin_BLeft_Full,13,1845
CC30.Bin_BRight_Full,12,1480
CC31.Bin_BLeft_Full,0,0
CC31.Bin_BRight_Full,15,3228
CC32.Bin_BLeft_Full,10,1390
CC32.Bin_BRight_Full,10,1478
CC33.Bin_BLeft_Full,0,0
CC33.Bin_BRight_Full,0,0
