alarm_id,trigger_count,total_downtime
CC1.Bin_BLeft_Full,0,0
CC1.Bin_BRight_Full,0,0
CC2.Bin_BLeft_Full,0,0
CC2.Bin_BRight_Full,0,0
CC3.Bin_BLeft_Full,0,0
CC3.Bin_BRight_Full,0,0
CC4.Bin_BLeft_Full,0,0
CC4.Bin_BRight_Full,0,0
CC5.Bin_BLeft_Full,0,0
CC5.Bin_BRight_Full,0,0
CC6.Bin_BLeft_Full,0,0
CC6.Bin_BRight_Full,19,5030
CC7.Bin_BLeft_Full,0,0
CC7.Bin_BRight_Full,30,7501
CC8.Bin_BLeft_Full,35,7276
CC8.Bin_BRight_Full,36,8450
CC9.Bin_BLeft_Full,0,0
CC9.Bin_BRight_Full,22,7166
CC10.Bin_BLeft_Full,31,7758
CC10.Bin_BRight_Full,33,4971
CC11.Bin_BLeft_Full,0,0
CC11.Bin_BRight_Full,22,3644
CC12.Bin_BLeft_Full,29,7089
CC12.Bin_BRight_Full,30,6702
CC13.Bin_BLeft_Full,0,0
CC13.Bin_BRight_Full,21,3720
CC14.Bin_BLeft_Full,25,6063
CC14.Bin_BRight_Full,26,6619
CC15.Bin_BLeft_Full,0,0
CC15.Bin_BRight_Full,21,4899
CC16.Bin_BLeft_Full,31,7574
CC16.Bin_BRight_Full,41,9828
CC17.Bin_BLeft_Full,0,0
CC17.Bin_BRight_Full,19,5037
CC18.Bin_BLeft_Full,18,4976
CC18.Bin_BRight_Full,17,3784
CC19.Bin_BLeft_Full,0,0
CC19.Bin_BRight_Full,20,5864
CC20.Bin_BLeft_Full,21,5363
CC20.Bin_BRight_Full,21,5412
CC21.Bin_BLeft_Full,0,0
CC21.Bin_BRight_Full,13,3473
CC22.Bin_BLeft_Full,12,3141
CC22.Bin_BRight_Full,14,4253
CC23.Bin_BLeft_Full,0,0
CC23.Bin_BRight_Full,18,2215
CC24.Bin_BLeft_Full,14,4434
CC24.Bin_BRight_Full,15,3732
CC25.Bin_BLeft_Full,0,0
CC25.Bin_BRight_Full,17,3730
CC26.Bin_BLeft_Full,16,3804
CC26.Bin_BRight_Full,15,2370
CC27.Bin_BLeft_Full,0,0
CC27.Bin_BRight_Full,11,1123
CC28.Bin_BLeft_Full,10,1175
CC28.Bin_BRight_Full,10,2527
CC29.Bin_BLeft_Full,0,0
CC29.Bin_BRight_Full,13,2887
CC30.Bin_BLeft_Full,14,3224
CC30.Bin_BRight_Full,12,1594
CC31.Bin_BLeft_Full,0,0
CC31.Bin_BRight_Full,15,1595
CC32.Bin_BLeft_Full,12,1627
CC32.Bin_BRight_Full,11,2650
CC33.Bin_BLeft_Full,0,0
CC33.Bin_BRight_Full,0,0
