alarm_id,07:00_08:00_count,07:00_08:00_downtime,08:00_09:00_count,08:00_09:00_downtime,09:00_10:00_count,09:00_10:00_downtime,10:00_11:00_count,10:00_11:00_downtime,11:00_12:00_count,11:00_12:00_downtime,12:00_13:00_count,12:00_13:00_downtime,13:00_14:00_count,13:00_14:00_downtime,14:00_15:00_count,14:00_15:00_downtime,15:00_16:00_count,15:00_16:00_downtime,16:00_17:00_count,16:00_17:00_downtime,17:00_18:00_count,17:00_18:00_downtime,18:00_19:00_count,18:00_19:00_downtime,19:00_20:00_count,19:00_20:00_downtime,20:00_21:00_count,20:00_21:00_downtime,21:00_22:00_count,21:00_22:00_downtime,22:00_23:00_count,22:00_23:00_downtime,23:00_00:00_count,23:00_00:00_downtime,00:00_01:00_count,00:00_01:00_downtime,01:00_02:00_count,01:00_02:00_downtime,02:00_03:00_count,02:00_03:00_downtime,03:00_04:00_count,03:00_04:00_downtime,04:00_05:00_count,04:00_05:00_downtime,05:00_06:00_count,05:00_06:00_downtime,06:00_07:00_count,06:00_07:00_downtime
CC1.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC2.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC2.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC3.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC3.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC4.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC4.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC5.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC5.Bin_BRight_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC6.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC6.Bin_BRight_Full,0,0,3,288.415,2,104.097,1,373.533,1,332.683,2,892.163,1,14.052,2,539.841,1,32.032,2,182.168,0,0,1,33.994,0,0,1,68.028,0,3.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC7.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC7.Bin_BRight_Full,0,0,1,51.117,2,132.266,2,185.189,1,118.141,1,306.325,2,933.907,1,460.559,1,89.072,1,86.033,2,115.167,3,678.169,2,191.626,3,193.234,2,357.498,3,420.385,1,450.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC8.Bin_BLeft_Full,1,90.168,1,10.034,3,357.323,1,54.074,1,92.102,1,25.027,2,638.618,2,189.304,2,519.552,1,89.261,1,62.035,1,133.302,2,390.093,2,128.15,3,208.344,2,632.909,2,174.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC8.Bin_BRight_Full,1,114.283,2,153.184,2,156.133,1,80.123,1,46.013,2,186.353,1,701.815,3,811.407,1,55.002,1,55.042,2,137.297,2,109.266,3,445.005,1,64.189,3,514.967,3,467.291,2,292.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC9.Bin_BLeft_Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC9.Bin_BRight_Full,2,237.39,0,0,1,64.987,1,54.047,1,69.103,1,108.127,1,936.242,2,101.174,0,0,0,0,1,34.007,0,0,3,654.882,1,138.19,2,171.249,2,368.448,2,370.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC10.Bin_BLeft_Full,1,203.067,2,136.088,1,119.088,2,210.135,1,34.983,1,48.057,1,818.453,2,385.275,1,53.989,1,88.97,1,113.141,2,75.014,3,915.455,1,72.065,3,619.775,1,63.045,2,147.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
